Station_ID, Date_Time, air_temp in Fahrenheit,relative_humidity as a %, wind_speed as Miles/Hour, wind_direction as degrees - sometimes this field is blank
KMCE,11/01/2020 20:53 UTC,78.98,22.94,4.6,270,2020-11-01 20:00:00 UTC, pm1=37.15, pm2_5=49.69, pm10=52.76, uptimeMin=7235.0, rssi_dbm=-18.6, temp=80.6, humidity=24.4, pm2_5_atm=40.96, line=2020-11-01 20:00:00 UTC,37.15,49.69,52.76,7235.00,-18.60,80.60,24.40,40.96]
KMCE,11/02/2020 02:53 UTC,64.94,41.53,0,0,2020-11-02 02:00:00 UTC, pm1=32.18, pm2_5=41.65, pm10=43.62, uptimeMin=7595.0, rssi_dbm=-23.8, temp=78.0, humidity=29.2, pm2_5_atm=36.73, line=2020-11-02 02:00:00 UTC,32.18,41.65,43.62,7595.00,-23.80,78.00,29.20,36.73]
KMCE,11/02/2020 08:53 UTC,50,65.81,0,0,2020-11-02 08:00:00 UTC, pm1=38.8, pm2_5=52.63, pm10=55.94, uptimeMin=7955.0, rssi_dbm=-20.4, temp=71.0, humidity=33.8, pm2_5_atm=42.33, line=2020-11-02 08:00:00 UTC,38.80,52.63,55.94,7955.00,-20.40,71.00,33.80,42.33]
KMCE,11/02/2020 14:53 UTC,44.96,76.24,0,0,2020-11-02 14:00:00 UTC, pm1=71.71, pm2_5=101.43, pm10=112.16, uptimeMin=8315.0, rssi_dbm=-21.4, temp=64.4, humidity=35.8, pm2_5_atm=66.93, line=2020-11-02 14:00:00 UTC,71.71,101.43,112.16,8315.00,-21.40,64.40,35.80,66.93]
KMCE,11/02/2020 20:00 UTC,0,0,4.6,320,2020-11-02 20:00:00 UTC, pm1=30.1, pm2_5=40.1, pm10=42.58, uptimeMin=8675.0, rssi_dbm=-21.6, temp=79.6, humidity=24.8, pm2_5_atm=35.76, line=2020-11-02 20:00:00 UTC,30.10,40.10,42.58,8675.00,-21.60,79.60,24.80,35.76]
KMCE,11/03/2020 02:00 UTC,66.2,48.87,3.45,330,2020-11-03 02:00:00 UTC, pm1=32.59, pm2_5=44.46, pm10=49.35, uptimeMin=9035.0, rssi_dbm=-23.2, temp=79.0, humidity=27.0, pm2_5_atm=38.22, line=2020-11-03 02:00:00 UTC,32.59,44.46,49.35,9035.00,-23.20,79.00,27.00,38.22]
KMCE,11/03/2020 08:00 UTC,50,61.76,0,0,2020-11-03 08:00:00 UTC, pm1=29.68, pm2_5=39.24, pm10=41.32, uptimeMin=9395.0, rssi_dbm=-24.2, temp=72.0, humidity=28.2, pm2_5_atm=35.29, line=2020-11-03 08:00:00 UTC,29.68,39.24,41.32,9395.00,-24.20,72.00,28.20,35.29]
KMCE,11/03/2020 14:00 UTC,48.2,66.05,0,0,2020-11-03 14:00:00 UTC, pm1=31.6, pm2_5=43.5, pm10=46.99, uptimeMin=9755.0, rssi_dbm=-22.6, temp=64.4, humidity=33.0, pm2_5_atm=37.86, line=2020-11-03 14:00:00 UTC,31.60,43.50,46.99,9755.00,-22.60,64.40,33.00,37.86]
KMCE,11/03/2020 20:00 UTC,75.2,31.39,0,0,2020-11-03 20:00:00 UTC, pm1=41.71, pm2_5=58.59, pm10=63.91, uptimeMin=10115.0, rssi_dbm=-22.0, temp=78.6, humidity=28.0, pm2_5_atm=44.88, line=2020-11-03 20:00:00 UTC,41.71,58.59,63.91,10115.00,-22.00,78.60,28.00,44.88]
KMCE,11/04/2020 02:00 UTC,69.8,32.76,4.6,320,2020-11-04 02:00:00 UTC, pm1=24.62, pm2_5=32.52, pm10=34.81, uptimeMin=10475.0, rssi_dbm=-24.8, temp=79.0, humidity=26.2, pm2_5_atm=31.27, line=2020-11-04 02:00:00 UTC,24.62,32.52,34.81,10475.00,-24.80,79.00,26.20,31.27]
KMCE,11/04/2020 08:00 UTC,46.4,70.68,3.45,100,2020-11-04 08:00:00 UTC, pm1=16.32, pm2_5=20.26, pm10=21.58, uptimeMin=10835.0, rssi_dbm=-21.8, temp=73.0, humidity=30.0, pm2_5_atm=20.26, line=2020-11-04 08:00:00 UTC,16.32,20.26,21.58,10835.00,-21.80,73.00,30.00,20.26]
KMCE,11/04/2020 14:00 UTC,39.2,80.78,3.45,100,2020-11-04 14:00:00 UTC, pm1=61.52, pm2_5=72.21, pm10=75.23, uptimeMin=11195.0, rssi_dbm=-20.4, temp=66.0, humidity=40.6, pm2_5_atm=51.54, line=2020-11-04 14:00:00 UTC,61.52,72.21,75.23,11195.00,-20.40,66.00,40.60,51.54]
KMCE,11/04/2020 20:00 UTC,75.2,29.29,5.75,350,2020-11-04 20:00:00 UTC, pm1=8.0, pm2_5=9.09, pm10=9.67, uptimeMin=11555.0, rssi_dbm=-20.2, temp=78.4, humidity=24.4, pm2_5_atm=9.09, line=2020-11-04 20:00:00 UTC,8.00,9.09,9.67,11555.00,-20.20,78.40,24.40,9.09]
KMCE,11/05/2020 02:00 UTC,68,37.36,3.45,330,2020-11-05 02:00:00 UTC, pm1=8.6, pm2_5=10.12, pm10=10.87, uptimeMin=11915.0, rssi_dbm=-26.4, temp=78.0, humidity=30.0, pm2_5_atm=10.12, line=2020-11-05 02:00:00 UTC,8.60,10.12,10.87,11915.00,-26.40,78.00,30.00,10.12]
KMCE,11/05/2020 08:00 UTC,46.4,75.84,0,0,2020-11-05 08:00:00 UTC, pm1=9.5, pm2_5=11.5, pm10=12.43, uptimeMin=12275.0, rssi_dbm=-23.0, temp=72.0, humidity=33.0, pm2_5_atm=11.5, line=2020-11-05 08:00:00 UTC,9.50,11.50,12.43,12275.00,-23.00,72.00,33.00,11.50]
KMCE,11/05/2020 14:00 UTC,41,80.92,4.6,120,2020-11-05 14:00:00 UTC, pm1=18.57, pm2_5=23.09, pm10=25.0, uptimeMin=12635.0, rssi_dbm=-20.8, temp=61.2, humidity=41.0, pm2_5_atm=23.09, line=2020-11-05 14:00:00 UTC,18.57,23.09,25.00,12635.00,-20.80,61.20,41.00,23.09]
KMCE,11/05/2020 20:00 UTC,73.4,35.72,4.6,190,2020-11-05 20:00:00 UTC, pm1=16.45, pm2_5=20.33, pm10=21.59, uptimeMin=12995.0, rssi_dbm=-22.4, temp=79.4, humidity=30.4, pm2_5_atm=20.33, line=2020-11-05 20:00:00 UTC,16.45,20.33,21.59,12995.00,-22.40,79.40,30.40,20.33]
KMCE,11/06/2020 02:35 UTC,55.4,66.93,5.75,120,2020-11-06 02:00:00 UTC, pm1=16.88, pm2_5=21.68, pm10=24.59, uptimeMin=13355.0, rssi_dbm=-22.4, temp=77.0, humidity=34.8, pm2_5_atm=21.68, line=2020-11-06 02:00:00 UTC,16.88,21.68,24.59,13355.00,-22.40,77.00,34.80,21.68]
KMCE,11/06/2020 08:00 UTC,53.6,62.24,5.75,100,2020-11-06 08:00:00 UTC, pm1=17.52, pm2_5=21.61, pm10=22.96, uptimeMin=13715.0, rssi_dbm=-23.6, temp=72.2, humidity=32.4, pm2_5_atm=21.61, line=2020-11-06 08:00:00 UTC,17.52,21.61,22.96,13715.00,-23.60,72.20,32.40,21.61]
KMCE,11/06/2020 14:00 UTC,51.8,71.27,3.45,350,2020-11-06 14:00:00 UTC, pm1=21.06, pm2_5=27.33, pm10=29.43, uptimeMin=14075.0, rssi_dbm=-24.0, temp=66.0, humidity=47.2, pm2_5_atm=27.2, line=2020-11-06 14:00:00 UTC,21.06,27.33,29.43,14075.00,-24.00,66.00,47.20,27.20]
KMCE,11/06/2020 20:53 UTC,64.04,30.03,13.81,340,2020-11-06 20:00:00 UTC, pm1=3.62, pm2_5=3.93, pm10=4.29, uptimeMin=14435.0, rssi_dbm=-24.2, temp=72.0, humidity=21.0, pm2_5_atm=3.93, line=2020-11-06 20:00:00 UTC,3.62,3.93,4.29,14435.00,-24.20,72.00,21.00,3.93]
KMCE,11/07/2020 02:53 UTC,53.06,46.46,6.91,230,2020-11-07 02:00:00 UTC, pm1=5.28, pm2_5=6.3, pm10=7.18, uptimeMin=14795.0, rssi_dbm=-22.6, temp=68.2, humidity=29.8, pm2_5_atm=6.3, line=2020-11-07 02:00:00 UTC,5.28,6.30,7.18,14795.00,-22.60,68.20,29.80,6.30]
KMCE,11/07/2020 08:53 UTC,48.92,68.51,0,0,2020-11-07 08:00:00 UTC, pm1=3.8, pm2_5=4.17, pm10=4.56, uptimeMin=15155.0, rssi_dbm=-21.4, temp=67.0, humidity=36.0, pm2_5_atm=4.17, line=2020-11-07 08:00:00 UTC,3.80,4.17,4.56,15155.00,-21.40,67.00,36.00,4.17]
KMCE,11/07/2020 14:49 UTC,46.4,93.4,3.45,260,2020-11-07 14:00:00 UTC, pm1=4.05, pm2_5=4.31, pm10=4.4, uptimeMin=15515.0, rssi_dbm=-21.8, temp=63.0, humidity=44.0, pm2_5_atm=4.31, line=2020-11-07 14:00:00 UTC,4.05,4.31,4.40,15515.00,-21.80,63.00,44.00,4.31]
KMCE,11/07/2020 20:53 UTC,53.06,71.41,5.75,290,2020-11-07 20:00:00 UTC, pm1=9.03, pm2_5=10.06, pm10=10.5, uptimeMin=15875.0, rssi_dbm=-25.0, temp=62.0, humidity=49.0, pm2_5_atm=10.06, line=2020-11-07 20:00:00 UTC,9.03,10.06,10.50,15875.00,-25.00,62.00,49.00,10.06]
KMCE,11/08/2020 02:53 UTC,46.04,88.99,4.6,140,2020-11-08 02:00:00 UTC, pm1=5.64, pm2_5=6.0, pm10=6.13, uptimeMin=16235.0, rssi_dbm=-21.4, temp=67.8, humidity=41.0, pm2_5_atm=6.0, line=2020-11-08 02:00:00 UTC,5.64,6.00,6.13,16235.00,-21.40,67.80,41.00,6.00]
KMCE,11/08/2020 08:53 UTC,46.94,89.65,9.21,140,2020-11-08 08:00:00 UTC, pm1=10.46, pm2_5=11.45, pm10=11.86, uptimeMin=16595.0, rssi_dbm=-24.4, temp=63.0, humidity=43.2, pm2_5_atm=11.45, line=2020-11-08 08:00:00 UTC,10.46,11.45,11.86,16595.00,-24.40,63.00,43.20,11.45]
KMCE,11/08/2020 14:53 UTC,42.98,88.85,3.45,180,2020-11-08 14:00:00 UTC, pm1=18.73, pm2_5=23.8, pm10=26.09, uptimeMin=16955.0, rssi_dbm=-20.2, temp=61.8, humidity=42.0, pm2_5_atm=19.17, line=2020-11-08 14:00:00 UTC,18.73,23.80,26.09,16955.00,-20.20,61.80,42.00,19.17]
KMCE,11/08/2020 20:53 UTC,60.08,29.38,18.41,330,2020-11-08 20:00:00 UTC, pm1=3.79, pm2_5=4.08, pm10=4.39, uptimeMin=17315.0, rssi_dbm=-24.0, temp=66.0, humidity=26.0, pm2_5_atm=4.08, line=2020-11-08 20:00:00 UTC,3.79,4.08,4.39,17315.00,-24.00,66.00,26.00,4.08]
KMCE,11/09/2020 02:53 UTC,44.96,65.17,3.45,160,2020-11-09 02:00:00 UTC, pm1=8.93, pm2_5=9.22, pm10=9.49, uptimeMin=17675.0, rssi_dbm=-20.4, temp=63.0, humidity=29.0, pm2_5_atm=9.22, line=2020-11-09 02:00:00 UTC,8.93,9.22,9.49,17675.00,-20.40,63.00,29.00,9.22]
KMCE,11/09/2020 08:53 UTC,35.96,81.7,0,0,2020-11-09 08:00:00 UTC, pm1=13.77, pm2_5=14.23, pm10=14.54, uptimeMin=18035.0, rssi_dbm=-20.8, temp=60.2, humidity=27.8, pm2_5_atm=14.23, line=2020-11-09 08:00:00 UTC,13.77,14.23,14.54,18035.00,-20.80,60.20,27.80,14.23]
KMCE,11/09/2020 14:53 UTC,32,88.3,0,0,2020-11-09 14:00:00 UTC, pm1=10.56, pm2_5=11.85, pm10=12.82, uptimeMin=18395.0, rssi_dbm=-23.2, temp=54.0, humidity=32.0, pm2_5_atm=11.85, line=2020-11-09 14:00:00 UTC,10.56,11.85,12.82,18395.00,-23.20,54.00,32.00,11.85]
KMCE,11/09/2020 20:53 UTC,53.06,48.16,0,0,2020-11-09 20:00:00 UTC, pm1=14.23, pm2_5=15.03, pm10=15.62, uptimeMin=18755.0, rssi_dbm=-22.0, temp=60.0, humidity=23.0, pm2_5_atm=15.03, line=2020-11-09 20:00:00 UTC,14.23,15.03,15.62,18755.00,-22.00,60.00,23.00,15.03]
KMCE,11/10/2020 02:53 UTC,46.94,58.32,0,0,2020-11-10 02:00:00 UTC, pm1=9.33, pm2_5=10.3, pm10=10.89, uptimeMin=19115.0, rssi_dbm=-20.2, temp=61.0, humidity=28.0, pm2_5_atm=10.3, line=2020-11-10 02:00:00 UTC,9.33,10.30,10.89,19115.00,-20.20,61.00,28.00,10.30]
