Station_ID, Date_Time, air_temp in Fahrenheit,relative_humidity as a %, wind_speed as Miles/Hour, wind_direction as degrees - sometimes this field is blank
KMCE,11/15/2020 02:53 UTC,48.92,86.14,0,0,2020-11-15 02:00:00 UTC, pm1=17.0, pm2_5=20.57, pm10=21.7, uptimeMin=26315.0, rssi_dbm=-21.2, temp=70.0, humidity=43.0, pm2_5_atm=20.57, line=2020-11-15 02:00:00 UTC,17.00,20.57,21.70,26315.00,-21.20,70.00,43.00,20.57]
KMCE,11/15/2020 08:18 UTC,41,95.89,0,0,2020-11-15 08:00:00 UTC, pm1=19.44, pm2_5=26.13, pm10=27.47, uptimeMin=26675.0, rssi_dbm=-23.2, temp=65.0, humidity=43.0, pm2_5_atm=26.13, line=2020-11-15 08:00:00 UTC,19.44,26.13,27.47,26675.00,-23.20,65.00,43.00,26.13]
KMCE,11/15/2020 14:00 UTC,39.92,96.55,0,0,2020-11-15 14:00:00 UTC, pm1=23.39, pm2_5=29.11, pm10=30.55, uptimeMin=27035.0, rssi_dbm=-22.8, temp=53.0, humidity=46.0, pm2_5_atm=29.08, line=2020-11-15 14:00:00 UTC,23.39,29.11,30.55,27035.00,-22.80,53.00,46.00,29.08]
KMCE,11/15/2020 20:53 UTC,62.96,50.06,3.45,0,2020-11-15 20:00:00 UTC, pm1=17.21, pm2_5=21.63, pm10=22.84, uptimeMin=27395.0, rssi_dbm=-22.0, temp=66.0, humidity=43.2, pm2_5_atm=21.63, line=2020-11-15 20:00:00 UTC,17.21,21.63,22.84,27395.00,-22.00,66.00,43.20,21.63]
KMCE,11/16/2020 02:53 UTC,53.96,66.3,0,0,2020-11-16 02:00:00 UTC, pm1=12.9, pm2_5=16.35, pm10=18.39, uptimeMin=27755.0, rssi_dbm=-24.6, temp=70.0, humidity=34.0, pm2_5_atm=16.35, line=2020-11-16 02:00:00 UTC,12.90,16.35,18.39,27755.00,-24.60,70.00,34.00,16.35]
KMCE,11/16/2020 08:53 UTC,42.08,88.81,0,0,2020-11-16 08:00:00 UTC, pm1=19.69, pm2_5=25.01, pm10=26.93, uptimeMin=28115.0, rssi_dbm=-21.2, temp=63.0, humidity=36.0, pm2_5_atm=25.01, line=2020-11-16 08:00:00 UTC,19.69,25.01,26.93,28115.00,-21.20,63.00,36.00,25.01]
KMCE,11/16/2020 14:53 UTC,37.94,89.24,3.45,90,2020-11-16 14:00:00 UTC, pm1=24.68, pm2_5=30.09, pm10=31.81, uptimeMin=28475.0, rssi_dbm=-24.2, temp=56.0, humidity=44.0, pm2_5_atm=29.87, line=2020-11-16 14:00:00 UTC,24.68,30.09,31.81,28475.00,-24.20,56.00,44.00,29.87]
KMCE,11/16/2020 20:53 UTC,66.92,40.43,6.91,150,2020-11-16 20:00:00 UTC, pm1=18.93, pm2_5=24.87, pm10=27.46, uptimeMin=28835.0, rssi_dbm=-21.4, temp=70.0, humidity=31.2, pm2_5_atm=24.87, line=2020-11-16 20:00:00 UTC,18.93,24.87,27.46,28835.00,-21.40,70.00,31.20,24.87]
KMCE,11/17/2020 02:53 UTC,50,0,3.45,100,2020-11-17 02:00:00 UTC, pm1=25.83, pm2_5=33.55, pm10=36.91, uptimeMin=191.0, rssi_dbm=-74.6, temp=69.2, humidity=37.2, pm2_5_atm=31.83, line=2020-11-17 02:00:00 UTC,25.83,33.55,36.91,191.00,-74.60,69.20,37.20,31.83]
KMCE,11/17/2020 08:53 UTC,50,0,3.45,160,2020-11-17 08:00:00 UTC, pm1=31.03, pm2_5=40.74, pm10=43.57, uptimeMin=551.0, rssi_dbm=-73.0, temp=66.0, humidity=38.0, pm2_5_atm=36.19, line=2020-11-17 08:00:00 UTC,31.03,40.74,43.57,551.00,-73.00,66.00,38.00,36.19]
KMCE,11/17/2020 14:53 UTC,48.92,0,5.75,120,2020-11-17 14:00:00 UTC, pm1=51.6, pm2_5=72.19, pm10=79.89, uptimeMin=911.0, rssi_dbm=-72.8, temp=62.4, humidity=46.0, pm2_5_atm=51.04, line=2020-11-17 14:00:00 UTC,51.60,72.19,79.89,911.00,-72.80,62.40,46.00,51.04]
KMCE,11/17/2020 20:53 UTC,68,45.31,5.75,120,2020-11-17 20:00:00 UTC, pm1=17.47, pm2_5=22.66, pm10=24.46, uptimeMin=1271.0, rssi_dbm=-72.8, temp=74.0, humidity=32.2, pm2_5_atm=22.66, line=2020-11-17 20:00:00 UTC,17.47,22.66,24.46,1271.00,-72.80,74.00,32.20,22.66]
KMCE,11/18/2020 02:53 UTC,62.96,42.68,3.45,160,2020-11-18 02:00:00 UTC, pm1=5.63, pm2_5=6.39, pm10=7.15, uptimeMin=1631.0, rssi_dbm=-20.4, temp=75.0, humidity=26.0, pm2_5_atm=6.39, line=2020-11-18 02:00:00 UTC,5.63,6.39,7.15,1631.00,-20.40,75.00,26.00,6.39]
KMCE,11/18/2020 08:53 UTC,55.04,93.03,4.6,320,2020-11-18 08:00:00 UTC, pm1=7.06, pm2_5=7.76, pm10=8.18, uptimeMin=1991.0, rssi_dbm=-24.0, temp=70.0, humidity=48.0, pm2_5_atm=7.76, line=2020-11-18 08:00:00 UTC,7.06,7.76,8.18,1991.00,-24.00,70.00,48.00,7.76]
KMCE,11/18/2020 14:53 UTC,53.96,89.96,9.21,110,2020-11-18 14:00:00 UTC, pm1=6.37, pm2_5=6.95, pm10=7.29, uptimeMin=2351.0, rssi_dbm=-23.2, temp=67.0, humidity=57.0, pm2_5_atm=6.95, line=2020-11-18 14:00:00 UTC,6.37,6.95,7.29,2351.00,-23.20,67.00,57.00,6.95]
KMCE,11/18/2020 20:53 UTC,62.06,80.37,10.36,130,2020-11-18 20:00:00 UTC, pm1=11.51, pm2_5=13.12, pm10=13.61, uptimeMin=2711.0, rssi_dbm=-23.6, temp=70.8, humidity=59.0, pm2_5_atm=13.12, line=2020-11-18 20:00:00 UTC,11.51,13.12,13.61,2711.00,-23.60,70.80,59.00,13.12]
KMCE,11/19/2020 02:53 UTC,55.94,90.04,0,0,2020-11-19 02:00:00 UTC, pm1=9.46, pm2_5=10.45, pm10=10.96, uptimeMin=3071.0, rssi_dbm=-23.0, temp=71.0, humidity=53.0, pm2_5_atm=10.45, line=2020-11-19 02:00:00 UTC,9.46,10.45,10.96,3071.00,-23.00,71.00,53.00,10.45]
KMCE,11/19/2020 08:53 UTC,53.06,85.8,9.21,330,2020-11-19 08:00:00 UTC, pm1=6.87, pm2_5=7.87, pm10=8.37, uptimeMin=3431.0, rssi_dbm=-25.2, temp=68.0, humidity=48.0, pm2_5_atm=7.87, line=2020-11-19 08:00:00 UTC,6.87,7.87,8.37,3431.00,-25.20,68.00,48.00,7.87]
KMCE,11/19/2020 14:53 UTC,48.92,89.74,8.06,340,2020-11-19 14:00:00 UTC, pm1=18.22, pm2_5=20.66, pm10=21.7, uptimeMin=3791.0, rssi_dbm=-24.6, temp=63.8, humidity=48.0, pm2_5_atm=20.59, line=2020-11-19 14:00:00 UTC,18.22,20.66,21.70,3791.00,-24.60,63.80,48.00,20.59]
KMCE,11/19/2020 20:00 UTC,62.6,48.31,17.26,340,2020-11-19 20:00:00 UTC, pm1=5.02, pm2_5=5.52, pm10=5.78, uptimeMin=4151.0, rssi_dbm=-20.8, temp=67.8, humidity=38.0, pm2_5_atm=5.52, line=2020-11-19 20:00:00 UTC,5.02,5.52,5.78,4151.00,-20.80,67.80,38.00,5.52]
KMCE,11/20/2020 02:35 UTC,51.8,71.27,6.91,320,null, pm1=0.0, pm2_5=0.0, pm10=0.0, uptimeMin=0.0, rssi_dbm=0.0, temp=0.0, humidity=0.0, pm2_5_atm=0.0, line=no record]
KMCE,11/20/2020 08:53 UTC,39.92,92.55,0,0,null, pm1=0.0, pm2_5=0.0, pm10=0.0, uptimeMin=0.0, rssi_dbm=0.0, temp=0.0, humidity=0.0, pm2_5_atm=0.0, line=no record]
KMCE,11/20/2020 14:53 UTC,42.98,79.37,6.91,350,null, pm1=0.0, pm2_5=0.0, pm10=0.0, uptimeMin=0.0, rssi_dbm=0.0, temp=0.0, humidity=0.0, pm2_5_atm=0.0, line=no record]
